Name,Type,Price,Neighborhood,Address,Latitude,Longitude,Bedrooms,Bathrooms,Sq. Footage,Rent Period,Laundry,Parking,Image Link,Link to Listing
"Beautiful Entry Level Apartment, Great Neighborhood! - apts/housing for rent - apartment rent - craigslist",Apartment,$900,Washington,"426 East Wheeling Street, Washington, PA 15301",40.169413,-80.234506,1,1,743,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/01414_7alzpXYpL0D_0CI0lC_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/washington-beautiful-entry-level/7791563866.html
City View 2 1 Bedroom - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,520",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.447700,-79.993300,1,1,620,monthly,w/d in unit,attached garage,https://images.craigslist.org/00b0b_27qrE7zhW6L_0jm0cU_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-city-view-1-bedroom/7789822540.html
We welcome your furry friends! Pet Friendly! 2 Bd / 1 Ba / 700 SqFt - apts/housing for rent - apartment rent -...,Apartment,$906,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,700,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00j0j_9jFVjH0BSWY_0jA0d7_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-we-welcome-your-furry-friends/7787263396.html
Comfortable 1 BD 1 BA for rent in quiet Indiana community - apts/housing for rent - apartment rent - craigslist,Apartment,$654,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,1,1,500,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/01313_3ROjtmpH4JY_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-comfortable-bd-ba-for-rent-in/7791579138.html
"Internet Access: High-Speed, Pets Allowed, Private Balcony - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,259",Pittsburgh,"401 Abbeyville Rd, Pittsburgh, PA 15228",40.350699,-80.048058,1,1,780,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00g0g_aKmXtl6feSn_0d408I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-internet-access-high-speed/7790426148.html
"Call us today! Amazing deal on this 830 sqft 2 bed, 1 bath! - apts/housing for rent - apartment rent - craigslist",Apartment,$625,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,830,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00808_84XNGMTJvoq_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-call-us-today-amazing-deal-on/7791578672.html
1 Bedroom Shadyside - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,050",Pittsburgh,"200 Stratford Avenue, Pittsburgh, PA 15206",40.400100,-80.016100,1,1,533,monthly,laundry in bldg,street parking,https://images.craigslist.org/01212_7eJ3czJ7Yli_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-shadyside/7788189813.html
Duplex - apts/housing for rent - apartment rent - craigslist,Apartment,$825,Charleroi,N/A,40.140400,-79.920000,2,1,N/A,monthly,w/d in unit,street parking,No image available,https://pittsburgh.craigslist.org/apa/d/charleroi-duplex/7784302222.html
2 Bed - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,425",Pittsburgh,"7 Dorchester Drive, Pittsburgh, PA 15241",40.332300,-80.081000,2,1,860,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00Z0Z_aFAZo6rZFJW_0uY0kE_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bed/7789855095.html
Pet Friendly! See It Today! 🐾 - apts/housing for rent - apartment rent - craigslist,Apartment,$965,Washington,"West Chestnut Street, Washington, PA 15301",40.171655,-80.251206,2,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00M0M_6aYf36N4yte_0CI0n5_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/washington-pet-friendly-see-it-today/7791566388.html
2 bed 1 bath JUST RENOVATED - apts/housing for rent - apartment rent - craigslist,Apartment,$975,Grapeville,"104 MaGee Ave, Jeannette, PA 15644",40.326539,-79.614746,2,1,N/A,monthly,w/d in unit,street parking,https://images.craigslist.org/00l0l_akOEV37N3QN_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/grapeville-bed-bath-just-renovated/7791572513.html
"Ready to make a move? Our 1 BR, 580 Sq Ft is calling. - apts/housing for rent - apartment rent - craigslist",Apartment,$590,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,1,1,580,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00h0h_eH73mVjG9p5_0fT0aB_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-ready-to-make-move-our-br-580/7791572105.html
1 Bed 1 Bath Right off Rt 22 - apts/housing for rent - apartment rent - craigslist,Apartment,$800,New Alexandria,"413 W Main Street, New Alexandria, PA 15670",40.395945,-79.426191,1,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00N0N_dvwpaffPT5f_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/new-alexandria-bed-bath-right-off-rt-22/7791571277.html
Condominum for rent - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,100",South Heights,N/A,40.563367,-80.278254,2,1,N/A,monthly,w/d in unit,street parking,https://images.craigslist.org/00000_60q8Z3nqRTj_0aT0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/south-heights-condominum-for-rent/7783156020.html
1 Bedroom Apt in Youngwood - Beautiful remodel - apts/housing for rent - apartment rent - craigslist,Apartment,$785,Youngwood,N/A,40.236911,-79.583747,1,1,575,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00j0j_cVLWnN1ea9D_0jm0ek_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/youngwood-bedroom-apt-in-youngwood/7783156011.html
See what our residents are raving about! - apts/housing for rent - apartment rent - craigslist,Apartment,$499,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,N/A,1,350,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00h0h_eH73mVjG9p5_0fT0aB_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-see-what-our-residents-are/7791571161.html
Perfect student living! 2 bed / 1 bath - near the university. - apts/housing for rent - apartment rent - craigslist,Apartment,$754,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,700,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00Q0Q_g7C19SrM1UP_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-perfect-student-living-bed-bath/7791570160.html
2 Bed 1 Bath Townhouse with Full Basement - apts/housing for rent - apartment rent - craigslist,House,"$1,100",Greensburg,"408 N Main Street, Greensburg, PA 15601",40.308336,-79.546265,2,1,N/A,monthly,w/d hookups,off-street parking,https://images.craigslist.org/00X0X_bqs22oKL6fx_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/greensburg-bed-bath-townhouse-with-full/7791568102.html
Unveiling a haven of style: Your perfect 2 BR awaits. - apts/housing for rent - apartment rent - craigslist,Apartment,$707,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,1,1000,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00E0E_8dlvxBKeAnu_0eN0b8_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-unveiling-haven-of-style-your/7791568065.html
ALL UTILITIES INCLUDED - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,875",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,2,2,781,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00K0K_cmECT5ZxAPm_0oc0g8_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7783909470.html
Ask About FREE Rent! - apts/housing for rent - apartment rent - craigslist,Apartment,$975,Washington,"422 East Wheeling Street, Washington, PA 15301",40.169413,-80.234592,2,1,929,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/01313_e6550lv8AaB_0CI0lC_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/washington-ask-about-free-rent/7789928689.html
Available For Immediate Move In- See It Today! - apts/housing for rent - apartment rent - craigslist,Apartment,$975,Washington,"422 East Wheeling Street, Washington, PA 15301",40.169364,-80.234485,2,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00R0R_kW6c1H5rSVc_0CI0lC_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/washington-available-for-immediate-move/7789940302.html
"See It Today, Move In This Weekend! - apts/housing for rent - apartment rent - craigslist",Apartment,$975,Washington,"422 East Wheeling Street, Washington, PA 15301",40.169413,-80.234592,2,1,929,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/01313_e6550lv8AaB_0CI0lC_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/washington-see-it-today-move-in-this/7789939821.html
"2bd 1ba, Pet Friendly (Pet Fees Apply) - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,095",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.400100,-80.016100,2,1,600,monthly,laundry in bldg,street parking,https://images.craigslist.org/00g0g_1gAwpiyKs05_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2bd-1ba-pet-friendly-pet/7791008593.html
1 Bed 1 Bath - apts/housing for rent - apartment rent - craigslist,Apartment,$975,New Alexandria,"309 W Main Street, New Alexandria, PA 15670",40.396818,-79.425488,1,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00B0B_j4Osg8Idkae_0t20CI_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/new-alexandria-bed-bath/7791565697.html
Ready to move? MAKE THIS APARTMENT HOME!🏡 - apts/housing for rent - apartment rent - craigslist,Apartment,$950,Washington,"235 W. Chestnut St, Washington PA, PA 15301",40.171700,-80.256000,2,1,N/A,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/01111_6NlIFoomzSU_1WY1WY_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/washington-ready-to-move-make-this/7791563570.html
5 Bedroom Apt on Atwood - apts/housing for rent - apartment rent - craigslist,Apartment,"$4,000",Pittsburgh,N/A,40.444000,-79.955200,5,2,N/A,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00s0s_cFdc6aN33Sv_06c04E_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-apt-on-atwood/7791536572.html
"A Indiana gem! 3 bed, 1 bath in the city's best spot. - apts/housing for rent - apartment rent - craigslist",Apartment,$957,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,3,1,800,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00j0j_fkfKmiAJM87_0fT0aB_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-indiana-gem-bed-bath-in-the/7791563134.html
The pinnacle of comfort: Exceptional 2 BR spaces available. - apts/housing for rent - apartment rent - craigslist,Apartment,$632,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,2,740,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00x0x_iGX49YOYD3m_0eN09V_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-the-pinnacle-of-comfort/7791563028.html
Private Entrance 1 Bedroom - apts/housing for rent - apartment rent - craigslist,Apartment,$950,Pittsburgh,"1344 Tennessee Avenue, Pittsburgh, PA 15216",40.400100,-80.016100,1,1,540,monthly,laundry in bldg,street parking,https://images.craigslist.org/00g0g_2J6WCfRuCnl_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-private-entrance-bedroom/7791562611.html
The right place for you! Beautiful 3 bed / 1 bath - prime location! - apts/housing for rent - apartment rent -...,Apartment,$905,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,3,1,1000,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00h0h_eH73mVjG9p5_0fT0aB_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-the-right-place-for-you/7791561400.html
"Comfortable 500 sq ft 1 bd, 1 ba for all your needs. Call us now! - apts/housing for rent - apartment rent - craigslist",Apartment,$654,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,1,1,500,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00Z0Z_7UfvRnIuu8Z_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-comfortable-500-sq-ft-bd-ba-for/7791561288.html
Close to major transit and buslines! Great location for commuters - apts/housing for rent - apartment rent - craigslist,Apartment,$632,Indiana,"1935 Merry Pl, Indiana, PA 15701",40.612489,-79.180604,2,2,740,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00Z0Z_7UfvRnIuu8Z_0eD09L_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/indiana-close-to-major-transit-and/7790432073.html
"Central A/C, Clubhouse, Off-Street Parking - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,372",Hunker,"117 Huntingdon Village Dr, Hunker, PA 15639",40.189994,-79.599803,3,2,1246,monthly,laundry on site,off-street parking,https://images.craigslist.org/00u0u_d7CkCPW2JyU_09i06I_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/hunker-central-c-clubhouse-off-street/7791557899.html
"Lounge, 24/7 Concierge, Package Room - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,965",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,752,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00R0R_afp3pGnrMKY_0qs0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-lounge-24-concierge-package/7790166706.html
"2 bedroom, 2 bath- ALL Utilities Included - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,824",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,2,2,781,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00000_7b9HgpRxoPk_08405n_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-bath-all-utilities/7791557169.html
3 Bedroom Move In Special!!! - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,050",Pittsburgh,"625 Stanwix Street, Pittsburgh, PA 15222",40.400100,-80.016100,3,1,864,monthly,laundry in bldg,off-street parking,https://images.craigslist.org/00n0n_gJc6pSo5HKm_0d40hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-move-in-special/7783114314.html
"Newly Renovated, Your own Private Deck - apts/housing for rent - apartment rent - craigslist",Apartment,$940,Pittsburgh,"Marshall Road, Pittsburgh, PA 15214",40.474881,-80.014501,1,1,590,monthly,laundry on site,off-street parking,https://images.craigslist.org/00N0N_dEy0wKQuxVA_0ak07K_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-newly-renovated-your-own/7789832100.html
1 Bedroom- ALL Utilities Included - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,465",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,1,1,502,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00r0r_9IdyWInqIu8_0oc0g8_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-all-utilities/7791556553.html
ALL utilities Included- Studio Apartment - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,395",Pittsburgh,"1500 Park Ln, Pittsburgh, PA 15275",40.455975,-80.188683,N/A,1,502,monthly,w/d in unit,off-street parking,https://images.craigslist.org/00E0E_50506qVIgdV_0ob0g8_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7791555823.html
Large renovated one bedroom(section 8 welcome) - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,250",Pittsburgh,N/A,40.410582,-79.991605,1,1,N/A,monthly,w/d hookups,no parking,https://images.craigslist.org/00a0a_318MLzuCqVh_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-large-renovated-one/7791550214.html
"On-Site Maintenance, Covered Parking, Central Air - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,375",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.500000,-80.199600,1,1,825,monthly,w/d in unit,carport,https://images.craigslist.org/00G0G_iZWOIfJmx71_0q80hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/coraopolis-on-site-maintenance-covered/7791555357.html
Three Bedroom Apt on Mckee - apts/housing for rent - apartment rent - craigslist,Apartment,"$2,300",Pittsburgh,N/A,40.444000,-79.955200,3,1,N/A,monthly,laundry on site,street parking,https://images.craigslist.org/01212_gP80nY2Xf7r_0co09i_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-three-bedroom-apt-on-mckee/7791538410.html
"Package Room, Podcast Room, Rooftop Pool - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,738",Pittsburgh,"434 Fifth Ave, Pittsburgh, PA 15219",40.439484,-79.998334,1,1,725,monthly,laundry in bldg,attached garage,https://images.craigslist.org/00a0a_ehXlnNvOPLy_0qs0ew_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-package-room-podcast-room/7791552859.html
Three bedroom( section 8 welcome) - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,250",Homestead,"321 east 11th, Homestead, PA 15120",40.392600,-79.905200,3,1,N/A,monthly,no laundry on site,street parking,https://images.craigslist.org/01717_41U5gdUntBQ_0iS0pj_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/homestead-three-bedroom-section-welcome/7791549508.html
"Central Air, In-Unit Laundry, Patio/Balcony, Pet Friendly - apts/housing for rent - apartment rent - craigslist",Apartment,"$1,375",Coraopolis,"916 Beaver Grade Road, Moon Township, PA 15108",40.500000,-80.199600,1,1,825,monthly,w/d in unit,carport,https://images.craigslist.org/00j0j_dp1VEkkV5Bf_0q80hq_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/coraopolis-central-air-in-unit-laundry/7788258514.html
2 Bedroom Apt on Atwood - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,550",Pittsburgh,N/A,40.444000,-79.955200,2,1,N/A,monthly,no laundry on site,off-street parking,https://images.craigslist.org/00s0s_cFdc6aN33Sv_06c04E_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bedroom-apt-on-atwood/7791536615.html
Bridgeville Area- Upper St. Clair 2 Bedroom Home - apts/housing for rent - apartment rent - craigslist,House,"$1,800",Pittsburgh,N/A,40.332300,-80.081000,2,2,N/A,monthly,w/d in unit,attached garage,https://images.craigslist.org/00o0o_dkO3XuIJsc_0CI0t2_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/pittsburgh-bridgeville-area-upper-st/7791550219.html
Great Location Office space for Rent in the Heart of Dormont - apts/housing for rent - apartment rent - craigslist,Apartment,$650,Pittsburgh,"Illinois, Pittsburgh, PA 15216",40.388569,-80.030675,N/A,1,450,monthly,laundry in bldg,street parking,No image available,https://pittsburgh.craigslist.org/apa/d/pittsburgh-great-location-office-space/7791536441.html
Large 1 Bedroom - apts/housing for rent - apartment rent - craigslist,Apartment,"$1,000",Carnegie,"lincoln, carnegie, PA 15106",40.404469,-80.083377,1,1,N/A,monthly,w/d hookups,off-street parking,https://images.craigslist.org/00R0R_fmXfznWbCHg_07g09G_600x450.jpg,https://pittsburgh.craigslist.org/apa/d/carnegie-large-bedroom/7788829499.html
